,profit,fees,balance,position,streak
556155,0.0,0.0,1000.0,0.0,1.0
556156,0.0,0.25,999.75,1,1.0
556157,0.0,0.25,999.5,2,1.0
556158,0.0,0.0,999.5,2,1.0
556159,0.0,0.0,999.5,2,1.0
556160,0.0,0.0,999.5,2,1.0
556161,0.0,0.0,999.5,2,1.0
556162,0.0,0.0,999.5,2,1.0
556163,0.0,0.0,999.5,2,1.0
556164,0.0,0.0,999.5,2,1.0
556165,0.0,0.0,999.5,2,1.0
556166,0.0,0.0,999.5,2,1.0
556167,0.0,0.0,999.5,2,1.0
556168,50.0,0.25,1049.25,1,1.0
556169,0.0,0.25,1049.0,0,1.0
556170,0.0,0.25,1048.75,1,1.0
556171,0.0,0.0,1048.75,1,1.0
556172,0.0,0.25,1048.5,2,1.0
556173,0.0,0.0,1048.5,2,1.0
556174,0.0,0.25,1048.25,1,1.0
556175,0.0,0.0,1048.25,1,1.0
556176,0.0,0.0,1048.25,1,1.0
556177,0.0,0.25,1048.0,2,1.0
556178,0.0,0.0,1048.0,2,1.0
556179,0.0,0.0,1048.0,2,1.0
556180,0.0,0.0,1048.0,2,1.0
556181,-12.5,0.25,1035.25,1,1.0
556182,0.0,0.0,1035.25,1,1.0
556183,0.0,0.25,1035.0,0,1.0
556184,0.0,0.25,1034.75,1,1.0
556185,0.0,0.25,1034.5,2,1.0
556186,0.0,0.0,1034.5,2,1.0
556187,0.0,0.0,1034.5,2,1.0
556188,0.0,0.25,1034.25,1,1.0
556189,0.0,0.0,1034.25,1,1.0
556190,0.0,0.0,1034.25,1,1.0
556191,0.0,0.25,1034.0,2,1.0
556192,0.0,0.0,1034.0,2,1.0
556193,0.0,0.0,1034.0,2,1.0
556194,0.0,0.0,1034.0,2,1.0
556195,0.0,0.0,1034.0,2,1.0
556196,0.0,0.0,1034.0,2,1.0
556197,0.0,0.0,1034.0,2,1.0
556198,0.0,0.0,1034.0,2,1.0
556199,0.0,0.0,1034.0,2,1.0
556200,0.0,0.0,1034.0,2,1.0
556201,0.0,0.0,1034.0,2,1.0
556202,0.0,0.0,1034.0,2,1.0
556203,0.0,0.0,1034.0,2,1.0
556204,12.5,0.25,1046.25,1,1.0
556205,0.0,0.0,1046.25,1,1.0
556206,0.0,0.0,1046.25,1,1.0
556207,0.0,0.0,1046.25,1,1.0
556208,0.0,0.0,1046.25,1,1.0
556209,25.0,0.25,1071.0,0,1.0
556210,0.0,0.25,1070.75,1,1.0
556211,0.0,0.0,1070.75,1,1.0
556212,0.0,0.0,1070.75,1,1.0
556213,-12.5,0.25,1058.0,2,1.0
556214,0.0,0.0,1058.0,2,1.0
556215,0.0,0.0,1058.0,2,1.0
556216,0.0,0.25,1057.75,1,1.0
556217,0.0,0.0,1057.75,1,1.0
556218,-12.5,0.25,1045.0,2,1.0
556219,0.0,0.0,1045.0,2,1.0
556220,0.0,0.0,1045.0,2,1.0
556221,0.0,0.0,1045.0,2,1.0
556222,12.5,0.25,1057.25,1,1.0
556223,-12.5,0.25,1044.5,2,1.0
556224,0.0,0.0,1044.5,2,1.0
556225,0.0,0.0,1044.5,2,1.0
556226,0.0,0.0,1044.5,2,1.0
556227,0.0,0.0,1044.5,2,1.0
556228,0.0,0.0,1044.5,2,1.0
556229,0.0,0.0,1044.5,2,1.0
556230,0.0,0.0,1044.5,2,1.0
556231,12.5,0.25,1056.75,1,1.0
556232,0.0,0.25,1056.5,2,1.0
556233,0.0,0.25,1056.25,1,1.0
556234,0.0,0.0,1056.25,1,1.0
556235,0.0,0.0,1056.25,1,1.0
556236,-12.5,0.25,1043.5,2,1.0
556237,-12.5,0.25,1030.75,0,1.0
556238,0.0,0.25,1030.5,2,1.0
556239,-12.5,0.25,1017.75,1,1.0
556240,0.0,0.0,1017.75,1,1.0
556241,0.0,0.0,1017.75,1,1.0
556242,0.0,0.0,1017.75,1,1.0
